성별,연령계층별,연,월,항목,자료값
계,계,2017,6,15세이상인구[천명],43924.3
계,계,2017,7,15세이상인구[천명],43945.5
계,계,2017,8,15세이상인구[천명],43967.4
계,계,2017,9,15세이상인구[천명],43986.5
계,계,2017,10,15세이상인구[천명],44014.5
계,계,2017,11,15세이상인구[천명],44039.9
계,계,2017,12,15세이상인구[천명],44059.8
계,계,2018,1,15세이상인구[천명],44072.5
계,계,2018,2,15세이상인구[천명],44092.6
계,계,2018,3,15세이상인구[천명],44100
계,계,2018,4,15세이상인구[천명],44122
계,계,2018,5,15세이상인구[천명],44140.6
계,계,2018,6,15세이상인구[천명],44160.8
계,계,2018,7,15세이상인구[천명],44186.7
계,계,2018,8,15세이상인구[천명],44211.3
계,계,2018,9,15세이상인구[천명],44237.2
계,계,2018,10,15세이상인구[천명],44262
계,계,2018,11,15세이상인구[천명],44284
계,계,2018,12,15세이상인구[천명],44315.5
계,계,2019,1,15세이상인구[천명],44318.8
계,계,2019,2,15세이상인구[천명],44382.3
계,계,2019,3,15세이상인구[천명],44409.1
계,계,2019,4,15세이상인구[천명],44443.5
계,계,2019,5,15세이상인구[천명],44459.8
계,계,2019,6,15세이상인구[천명],44495.4
계,계,2019,7,15세이상인구[천명],44529.8
계,계,2019,8,15세이상인구[천명],44546.1
계,계,2019,9,15세이상인구[천명],44572.6
계,계,2019,10,15세이상인구[천명],44600.9
계,계,2019,11,15세이상인구[천명],44625
계,계,2019,12,15세이상인구[천명],44660.9
계,계,2020,1,15세이상인구[천명],44665.4
계,계,2020,2,15세이상인구[천명],44698.2
계,계,2020,3,15세이상인구[천명],44712.1
계,계,2020,4,15세이상인구[천명],44724.7
계,계,2020,5,15세이상인구[천명],44756.2
계,계,2020,6,15세이상인구[천명],44775.3
계,계,2020,7,15세이상인구[천명],44795.1
계,계,2020,8,15세이상인구[천명],44812.6
계,계,2020,9,15세이상인구[천명],44829
계,계,2020,10,15세이상인구[천명],44852.3
계,계,2020,11,15세이상인구[천명],44883.5
계,계,2020,12,15세이상인구[천명],44916
계,계,2021,1,15세이상인구[천명],44968
계,계,2021,2,15세이상인구[천명],44987.2
계,계,2021,3,15세이상인구[천명],45007
계,계,2021,4,15세이상인구[천명],45027.3
계,계,2021,5,15세이상인구[천명],45049
계,15 - 19세,2011,1,15세이상인구[천명],3352
계,15 - 19세,2011,2,15세이상인구[천명],3354.7
계,15 - 19세,2011,3,15세이상인구[천명],3358
계,15 - 19세,2011,4,15세이상인구[천명],3360.6
계,15 - 19세,2011,5,15세이상인구[천명],3365.1
계,15 - 19세,2011,6,15세이상인구[천명],3367
계,15 - 19세,2011,7,15세이상인구[천명],3367.7
계,15 - 19세,2011,8,15세이상인구[천명],3364.9
계,15 - 19세,2011,9,15세이상인구[천명],3360.7
계,15 - 19세,2011,10,15세이상인구[천명],3357.5
계,15 - 19세,2011,11,15세이상인구[천명],3355.5
계,15 - 19세,2011,12,15세이상인구[천명],3357
계,15 - 19세,2012,1,15세이상인구[천명],3352.4
계,15 - 19세,2012,2,15세이상인구[천명],3349.7
계,15 - 19세,2012,3,15세이상인구[천명],3346.7
계,15 - 19세,2012,4,15세이상인구[천명],3343.1
계,15 - 19세,2012,5,15세이상인구[천명],3341.5
계,15 - 19세,2012,6,15세이상인구[천명],3337.3
계,15 - 19세,2012,7,15세이상인구[천명],3333.6
계,15 - 19세,2012,8,15세이상인구[천명],3327.9
계,15 - 19세,2012,9,15세이상인구[천명],3321.8
계,15 - 19세,2012,10,15세이상인구[천명],3315.8
계,15 - 19세,2012,11,15세이상인구[천명],3311.3
계,15 - 19세,2012,12,15세이상인구[천명],3310.3
계,15 - 19세,2013,1,15세이상인구[천명],3303.6
계,15 - 19세,2013,2,15세이상인구[천명],3299.4
계,15 - 19세,2013,3,15세이상인구[천명],3293.3
계,15 - 19세,2013,4,15세이상인구[천명],3288
계,15 - 19세,2013,5,15세이상인구[천명],3283.1
계,15 - 19세,2013,6,15세이상인구[천명],3278.7
계,15 - 19세,2013,7,15세이상인구[천명],3273
계,15 - 19세,2013,8,15세이상인구[천명],3266.2
계,15 - 19세,2013,9,15세이상인구[천명],3259.4
계,15 - 19세,2013,10,15세이상인구[천명],3252.6
계,15 - 19세,2013,11,15세이상인구[천명],3246.1
계,15 - 19세,2013,12,15세이상인구[천명],3239.5
계,15 - 19세,2014,1,15세이상인구[천명],3232.2
계,15 - 19세,2014,2,15세이상인구[천명],3225.7
계,15 - 19세,2014,3,15세이상인구[천명],3218.7
계,15 - 19세,2014,4,15세이상인구[천명],3211.7
계,15 - 19세,2014,5,15세이상인구[천명],3205
계,15 - 19세,2014,6,15세이상인구[천명],3198.2
계,15 - 19세,2014,7,15세이상인구[천명],3191.6
계,15 - 19세,2014,8,15세이상인구[천명],3186.4
계,15 - 19세,2014,9,15세이상인구[천명],3180.6
계,15 - 19세,2014,10,15세이상인구[천명],3174.2
계,15 - 19세,2014,11,15세이상인구[천명],3168.7
계,15 - 19세,2014,12,15세이상인구[천명],3162.8
계,15 - 19세,2015,1,15세이상인구[천명],3157.1
계,15 - 19세,2015,2,15세이상인구[천명],3151.9
계,15 - 19세,2015,3,15세이상인구[천명],3146.1
계,15 - 19세,2015,4,15세이상인구[천명],3140.7
계,15 - 19세,2015,5,15세이상인구[천명],3135.1
계,15 - 19세,2015,6,15세이상인구[천명],3129.4
계,15 - 19세,2015,7,15세이상인구[천명],3122.8
계,15 - 19세,2015,8,15세이상인구[천명],3115.3
계,15 - 19세,2015,9,15세이상인구[천명],3108
계,15 - 19세,2015,10,15세이상인구[천명],3100.2
계,15 - 19세,2015,11,15세이상인구[천명],3092.5
계,15 - 19세,2015,12,15세이상인구[천명],3085.2
계,15 - 19세,2016,1,15세이상인구[천명],3114.6
계,15 - 19세,2016,2,15세이상인구[천명],3107.2
계,15 - 19세,2016,3,15세이상인구[천명],3100.1
계,15 - 19세,2016,4,15세이상인구[천명],3092.6
계,15 - 19세,2016,5,15세이상인구[천명],3085.4
계,15 - 19세,2016,6,15세이상인구[천명],3077.7
계,15 - 19세,2016,7,15세이상인구[천명],3067.6
계,15 - 19세,2016,8,15세이상인구[천명],3055
계,15 - 19세,2016,9,15세이상인구[천명],3042.6
계,15 - 19세,2016,10,15세이상인구[천명],3030.1
계,15 - 19세,2016,11,15세이상인구[천명],3017.6
계,15 - 19세,2016,12,15세이상인구[천명],3005.1
계,15 - 19세,2017,1,15세이상인구[천명],2993.4
계,15 - 19세,2017,2,15세이상인구[천명],2981
계,15 - 19세,2017,3,15세이상인구[천명],2968.7
계,15 - 19세,2017,4,15세이상인구[천명],2956.1
계,15 - 19세,2017,5,15세이상인구[천명],2944
계,15 - 19세,2017,6,15세이상인구[천명],2931.2
계,15 - 19세,2017,7,15세이상인구[천명],2917.7
계,15 - 19세,2017,8,15세이상인구[천명],2903.5
계,15 - 19세,2017,9,15세이상인구[천명],2889.1
계,15 - 19세,2017,10,15세이상인구[천명],2875.4
계,15 - 19세,2017,11,15세이상인구[천명],2861.5
계,15 - 19세,2017,12,15세이상인구[천명],2847.1
계,15 - 19세,2018,1,15세이상인구[천명],2832.4
계,15 - 19세,2018,2,15세이상인구[천명],2818.2
계,15 - 19세,2018,3,15세이상인구[천명],2803
계,15 - 19세,2018,4,15세이상인구[천명],2789
계,15 - 19세,2018,5,15세이상인구[천명],2774.7
계,15 - 19세,2018,6,15세이상인구[천명],2760.6
계,15 - 19세,2018,7,15세이상인구[천명],2749.4
계,15 - 19세,2018,8,15세이상인구[천명],2738.2
계,15 - 19세,2018,9,15세이상인구[천명],2727
계,15 - 19세,2018,10,15세이상인구[천명],2715.8
계,15 - 19세,2018,11,15세이상인구[천명],2704.3
계,15 - 19세,2018,12,15세이상인구[천명],2693.6
계,15 - 19세,2019,1,15세이상인구[천명],2680.7
계,15 - 19세,2019,2,15세이상인구[천명],2672.5
계,15 - 19세,2019,3,15세이상인구[천명],2661.4
계,15 - 19세,2019,4,15세이상인구[천명],2650.9
계,15 - 19세,2019,5,15세이상인구[천명],2639
계,15 - 19세,2019,6,15세이상인구[천명],2628.6
계,15 - 19세,2019,7,15세이상인구[천명],2615.1
계,15 - 19세,2019,8,15세이상인구[천명],2600.2
계,15 - 19세,2019,9,15세이상인구[천명],2586.1
계,15 - 19세,2019,10,15세이상인구[천명],2572.2
계,15 - 19세,2019,11,15세이상인구[천명],2557.9
계,15 - 19세,2019,12,15세이상인구[천명],2544.6
계,15 - 19세,2020,1,15세이상인구[천명],2528.9
계,15 - 19세,2020,2,15세이상인구[천명],2515.4
계,15 - 19세,2020,3,15세이상인구[천명],2500.5
계,15 - 19세,2020,4,15세이상인구[천명],2485.4
계,15 - 19세,2020,5,15세이상인구[천명],2471.9
계,15 - 19세,2020,6,15세이상인구[천명],2457.3
계,15 - 19세,2020,7,15세이상인구[천명],2443.9
계,15 - 19세,2020,8,15세이상인구[천명],2430.4
계,15 - 19세,2020,9,15세이상인구[천명],2416.7
계,15 - 19세,2020,10,15세이상인구[천명],2403.6
계,15 - 19세,2020,11,15세이상인구[천명],2391.1
계,15 - 19세,2020,12,15세이상인구[천명],2378.7
계,15 - 19세,2021,1,15세이상인구[천명],2368.5
계,15 - 19세,2021,2,15세이상인구[천명],2355.6
계,15 - 19세,2021,3,15세이상인구[천명],2342.8
계,15 - 19세,2021,4,15세이상인구[천명],2329.9
계,15 - 19세,2021,5,15세이상인구[천명],2317.2
계,20 - 24세,2011,1,15세이상인구[천명],2674.1
계,20 - 24세,2011,2,15세이상인구[천명],2674.4
계,20 - 24세,2011,3,15세이상인구[천명],2677.1
계,20 - 24세,2011,4,15세이상인구[천명],2676.8
계,20 - 24세,2011,5,15세이상인구[천명],2686
계,20 - 24세,2011,6,15세이상인구[천명],2681.8
계,20 - 24세,2011,7,15세이상인구[천명],2689.1
계,20 - 24세,2011,8,15세이상인구[천명],2696.7
계,20 - 24세,2011,9,15세이상인구[천명],2697.6
계,20 - 24세,2011,10,15세이상인구[천명],2702.9
계,20 - 24세,2011,11,15세이상인구[천명],2714.3
계,20 - 24세,2011,12,15세이상인구[천명],2743.1
계,20 - 24세,2012,1,15세이상인구[천명],2741.6
계,20 - 24세,2012,2,15세이상인구[천명],2749.8
계,20 - 24세,2012,3,15세이상인구[천명],2756.3
계,20 - 24세,2012,4,15세이상인구[천명],2759.9
계,20 - 24세,2012,5,15세이상인구[천명],2773.2
계,20 - 24세,2012,6,15세이상인구[천명],2774
계,20 - 24세,2012,7,15세이상인구[천명],2783.3
계,20 - 24세,2012,8,15세이상인구[천명],2789.8
계,20 - 24세,2012,9,15세이상인구[천명],2793.7
계,20 - 24세,2012,10,15세이상인구[천명],2798.3
계,20 - 24세,2012,11,15세이상인구[천명],2810.1
계,20 - 24세,2012,12,15세이상인구[천명],2839.6
계,20 - 24세,2013,1,15세이상인구[천명],2840.9
계,20 - 24세,2013,2,15세이상인구[천명],2854.3
계,20 - 24세,2013,3,15세이상인구[천명],2858.4
계,20 - 24세,2013,4,15세이상인구[천명],2866.2
계,20 - 24세,2013,5,15세이상인구[천명],2876.2
계,20 - 24세,2013,6,15세이상인구[천명],2889.1
계,20 - 24세,2013,7,15세이상인구[천명],2898.6
계,20 - 24세,2013,8,15세이상인구[천명],2906.3
계,20 - 24세,2013,9,15세이상인구[천명],2914.3
계,20 - 24세,2013,10,15세이상인구[천명],2922.1
계,20 - 24세,2013,11,15세이상인구[천명],2931.6
계,20 - 24세,2013,12,15세이상인구[천명],2940.8
계,20 - 24세,2014,1,15세이상인구[천명],2946
계,20 - 24세,2014,2,15세이상인구[천명],2955.7
계,20 - 24세,2014,3,15세이상인구[천명],2962.2
계,20 - 24세,2014,4,15세이상인구[천명],2969.2
계,20 - 24세,2014,5,15세이상인구[천명],2977.9
계,20 - 24세,2014,6,15세이상인구[천명],2985.7
계,20 - 24세,2014,7,15세이상인구[천명],2990
계,20 - 24세,2014,8,15세이상인구[천명],2996.8
계,20 - 24세,2014,9,15세이상인구[천명],3000.4
계,20 - 24세,2014,10,15세이상인구[천명],3001
계,20 - 24세,2014,11,15세이상인구[천명],3006
계,20 - 24세,2014,12,15세이상인구[천명],3009.5
계,20 - 24세,2015,1,15세이상인구[천명],3013.5
계,20 - 24세,2015,2,15세이상인구[천명],3020.1
계,20 - 24세,2015,3,15세이상인구[천명],3023.7
계,20 - 24세,2015,4,15세이상인구[천명],3029.4
계,20 - 24세,2015,5,15세이상인구[천명],3033.8
계,20 - 24세,2015,6,15세이상인구[천명],3038.3
계,20 - 24세,2015,7,15세이상인구[천명],3042.2
계,20 - 24세,2015,8,15세이상인구[천명],3046.1
계,20 - 24세,2015,9,15세이상인구[천명],3051.1
계,20 - 24세,2015,10,15세이상인구[천명],3053.8
계,20 - 24세,2015,11,15세이상인구[천명],3056.9
계,20 - 24세,2015,12,15세이상인구[천명],3061.8
계,20 - 24세,2016,1,15세이상인구[천명],3028.9
계,20 - 24세,2016,2,15세이상인구[천명],3033.7
계,20 - 24세,2016,3,15세이상인구[천명],3041.4
계,20 - 24세,2016,4,15세이상인구[천명],3045.1
계,20 - 24세,2016,5,15세이상인구[천명],3052.1
계,20 - 24세,2016,6,15세이상인구[천명],3054.5
계,20 - 24세,2016,7,15세이상인구[천명],3053.4
계,20 - 24세,2016,8,15세이상인구[천명],3050.1
계,20 - 24세,2016,9,15세이상인구[천명],3047.2
계,20 - 24세,2016,10,15세이상인구[천명],3044.3
계,20 - 24세,2016,11,15세이상인구[천명],3041.1
계,20 - 24세,2016,12,15세이상인구[천명],3037.9
계,20 - 24세,2017,1,15세이상인구[천명],3041.4
계,20 - 24세,2017,2,15세이상인구[천명],3039.3
계,20 - 24세,2017,3,15세이상인구[천명],3037.8
계,20 - 24세,2017,4,15세이상인구[천명],3034.2
계,20 - 24세,2017,5,15세이상인구[천명],3034.5
계,20 - 24세,2017,6,15세이상인구[천명],3028.5
계,20 - 24세,2017,7,15세이상인구[천명],3022.6
계,20 - 24세,2017,8,15세이상인구[천명],3017.1
계,20 - 24세,2017,9,15세이상인구[천명],3009.9
계,20 - 24세,2017,10,15세이상인구[천명],3008.6
계,20 - 24세,2017,11,15세이상인구[천명],3005.9
계,20 - 24세,2017,12,15세이상인구[천명],2999.2
계,20 - 24세,2018,1,15세이상인구[천명],2989.5
계,20 - 24세,2018,2,15세이상인구[천명],2984.5
계,20 - 24세,2018,3,15세이상인구[천명],2970.3
계,20 - 24세,2018,4,15세이상인구[천명],2966.8
계,20 - 24세,2018,5,15세이상인구[천명],2961
계,20 - 24세,2018,6,15세이상인구[천명],2956.4
계,20 - 24세,2018,7,15세이상인구[천명],2953.3
계,20 - 24세,2018,8,15세이상인구[천명],2949.4
계,20 - 24세,2018,9,15세이상인구[천명],2946.4
계,20 - 24세,2018,10,15세이상인구[천명],2942.6
계,20 - 24세,2018,11,15세이상인구[천명],2936.9
계,20 - 24세,2018,12,15세이상인구[천명],2937.9
계,20 - 24세,2019,1,15세이상인구[천명],2917.8
계,20 - 24세,2019,2,15세이상인구[천명],2938.6
계,20 - 24세,2019,3,15세이상인구[천명],2934.7
계,20 - 24세,2019,4,15세이상인구[천명],2935.8
계,20 - 24세,2019,5,15세이상인구[천명],2924.5
계,20 - 24세,2019,6,15세이상인구[천명],2926.5
계,20 - 24세,2019,7,15세이상인구[천명],2930.2
계,20 - 24세,2019,8,15세이상인구[천명],2921.3
계,20 - 24세,2019,9,15세이상인구[천명],2919.8
계,20 - 24세,2019,10,15세이상인구[천명],2919.3
계,20 - 24세,2019,11,15세이상인구[천명],2915.9
계,20 - 24세,2019,12,15세이상인구[천명],2920.9
계,20 - 24세,2020,1,15세이상인구[천명],2904.2
계,20 - 24세,2020,2,15세이상인구[천명],2906.9
계,20 - 24세,2020,3,15세이상인구[천명],2896.7
계,20 - 24세,2020,4,15세이상인구[천명],2885.4
계,20 - 24세,2020,5,15세이상인구[천명],2887.1
계,20 - 24세,2020,6,15세이상인구[천명],2880.4
계,20 - 24세,2020,7,15세이상인구[천명],2874.1
계,20 - 24세,2020,8,15세이상인구[천명],2866
계,20 - 24세,2020,9,15세이상인구[천명],2857.3
계,20 - 24세,2020,10,15세이상인구[천명],2853.3
계,20 - 24세,2020,11,15세이상인구[천명],2854.7
계,20 - 24세,2020,12,15세이상인구[천명],2857.2
계,20 - 24세,2021,1,15세이상인구[천명],2872.6
계,20 - 24세,2021,2,15세이상인구[천명],2865
계,20 - 24세,2021,3,15세이상인구[천명],2858.1
계,20 - 24세,2021,4,15세이상인구[천명],2851.4
계,20 - 24세,2021,5,15세이상인구[천명],2845.5
계,25 - 29세,2011,1,15세이상인구[천명],3689.4
계,25 - 29세,2011,2,15세이상인구[천명],3675
계,25 - 29세,2011,3,15세이상인구[천명],3660.8
계,25 - 29세,2011,4,15세이상인구[천명],3646.3
계,25 - 29세,2011,5,15세이상인구[천명],3632.9
계,25 - 29세,2011,6,15세이상인구[천명],3618
계,25 - 29세,2011,7,15세이상인구[천명],3602.8
계,25 - 29세,2011,8,15세이상인구[천명],3586.1
계,25 - 29세,2011,9,15세이상인구[천명],3568.7
계,25 - 29세,2011,10,15세이상인구[천명],3551.8
계,25 - 29세,2011,11,15세이상인구[천명],3535.5
계,25 - 29세,2011,12,15세이상인구[천명],3521
계,25 - 29세,2012,1,15세이상인구[천명],3503.5
계,25 - 29세,2012,2,15세이상인구[천명],3486.9
계,25 - 29세,2012,3,15세이상인구[천명],3470.1
계,25 - 29세,2012,4,15세이상인구[천명],3453
계,25 - 29세,2012,5,15세이상인구[천명],3436.9
계,25 - 29세,2012,6,15세이상인구[천명],3419.5
계,25 - 29세,2012,7,15세이상인구[천명],3405
계,25 - 29세,2012,8,15세이상인구[천명],3392.3
계,25 - 29세,2012,9,15세이상인구[천명],3379.3
계,25 - 29세,2012,10,15세이상인구[천명],3366.4
계,25 - 29세,2012,11,15세이상인구[천명],3354.3
계,25 - 29세,2012,12,15세이상인구[천명],3344
계,25 - 29세,2013,1,15세이상인구[천명],3330.6
계,25 - 29세,2013,2,15세이상인구[천명],3318.6
계,25 - 29세,2013,3,15세이상인구[천명],3305.6
계,25 - 29세,2013,4,15세이상인구[천명],3293.1
계,25 - 29세,2013,5,15세이상인구[천명],3280.8
계,25 - 29세,2013,6,15세이상인구[천명],3268.8
계,25 - 29세,2013,7,15세이상인구[천명],3260.3
계,25 - 29세,2013,8,15세이상인구[천명],3255.7
계,25 - 29세,2013,9,15세이상인구[천명],3251.1
계,25 - 29세,2013,10,15세이상인구[천명],3246.5
계,25 - 29세,2013,11,15세이상인구[천명],3242.1
계,25 - 29세,2013,12,15세이상인구[천명],3237.5
계,25 - 29세,2014,1,15세이상인구[천명],3232.5
계,25 - 29세,2014,2,15세이상인구[천명],3228.1
계,25 - 29세,2014,3,15세이상인구[천명],3223.3
계,25 - 29세,2014,4,15세이상인구[천명],3218.6
계,25 - 29세,2014,5,15세이상인구[천명],3214.1
계,25 - 29세,2014,6,15세이상인구[천명],3209.5
계,25 - 29세,2014,7,15세이상인구[천명],3207.4
계,25 - 29세,2014,8,15세이상인구[천명],3208.5
계,25 - 29세,2014,9,15세이상인구[천명],3209.3
계,25 - 29세,2014,10,15세이상인구[천명],3209.7
계,25 - 29세,2014,11,15세이상인구[천명],3210.6
계,25 - 29세,2014,12,15세이상인구[천명],3211.4
계,25 - 29세,2015,1,15세이상인구[천명],3212.2
계,25 - 29세,2015,2,15세이상인구[천명],3213.2
계,25 - 29세,2015,3,15세이상인구[천명],3214
계,25 - 29세,2015,4,15세이상인구[천명],3215
계,25 - 29세,2015,5,15세이상인구[천명],3215.8
계,25 - 29세,2015,6,15세이상인구[천명],3216.7
계,25 - 29세,2015,7,15세이상인구[천명],3217.5
계,25 - 29세,2015,8,15세이상인구[천명],3218.3
계,25 - 29세,2015,9,15세이상인구[천명],3219.3
계,25 - 29세,2015,10,15세이상인구[천명],3220
계,25 - 29세,2015,11,15세이상인구[천명],3220.8
계,25 - 29세,2015,12,15세이상인구[천명],3221.7
계,25 - 29세,2016,1,15세이상인구[천명],3237.2
계,25 - 29세,2016,2,15세이상인구[천명],3238.1
계,25 - 29세,2016,3,15세이상인구[천명],3239.1
계,25 - 29세,2016,4,15세이상인구[천명],3239.9
계,25 - 29세,2016,5,15세이상인구[천명],3240.9
계,25 - 29세,2016,6,15세이상인구[천명],3241.8
계,25 - 29세,2016,7,15세이상인구[천명],3246
계,25 - 29세,2016,8,15세이상인구[천명],3253.6
계,25 - 29세,2016,9,15세이상인구[천명],3261.3
계,25 - 29세,2016,10,15세이상인구[천명],3268.9
계,25 - 29세,2016,11,15세이상인구[천명],3276.6
계,25 - 29세,2016,12,15세이상인구[천명],3284.2
계,25 - 29세,2017,1,15세이상인구[천명],3292.2
계,25 - 29세,2017,2,15세이상인구[천명],3300
계,25 - 29세,2017,3,15세이상인구[천명],3307.8
계,25 - 29세,2017,4,15세이상인구[천명],3315.4
계,25 - 29세,2017,5,15세이상인구[천명],3323.3
계,25 - 29세,2017,6,15세이상인구[천명],3330.9
계,25 - 29세,2017,7,15세이상인구[천명],3338.9
계,25 - 29세,2017,8,15세이상인구[천명],3347.7
계,25 - 29세,2017,9,15세이상인구[천명],3356.3
계,25 - 29세,2017,10,15세이상인구[천명],3365.5
계,25 - 29세,2017,11,15세이상인구[천명],3374.4
계,25 - 29세,2017,12,15세이상인구[천명],3383.1
계,25 - 29세,2018,1,15세이상인구[천명],3390.5
계,25 - 29세,2018,2,15세이상인구[천명],3398.4
계,25 - 29세,2018,3,15세이상인구[천명],3405.7
계,25 - 29세,2018,4,15세이상인구[천명],3413.7
계,25 - 29세,2018,5,15세이상인구[천명],3421.4
계,25 - 29세,2018,6,15세이상인구[천명],3429.2
계,25 - 29세,2018,7,15세이상인구[천명],3436.2
계,25 - 29세,2018,8,15세이상인구[천명],3443.2
계,25 - 29세,2018,9,15세이상인구[천명],3450.2
계,25 - 29세,2018,10,15세이상인구[천명],3457.2
계,25 - 29세,2018,11,15세이상인구[천명],3464
계,25 - 29세,2018,12,15세이상인구[천명],3471.2
계,25 - 29세,2019,1,15세이상인구[천명],3477.5
계,25 - 29세,2019,2,15세이상인구[천명],3487
계,25 - 29세,2019,3,15세이상인구[천명],3494.4
계,25 - 29세,2019,4,15세이상인구[천명],3502.3
계,25 - 29세,2019,5,15세이상인구[천명],3509.4
계,25 - 29세,2019,6,15세이상인구[천명],3517.3
계,25 - 29세,2019,7,15세이상인구[천명],3523.2
계,25 - 29세,2019,8,15세이상인구[천명],3528.2
계,25 - 29세,2019,9,15세이상인구[천명],3533.6
계,25 - 29세,2019,10,15세이상인구[천명],3539.2
계,25 - 29세,2019,11,15세이상인구[천명],3544.6
계,25 - 29세,2019,12,15세이상인구[천명],3550.5
계,25 - 29세,2020,1,15세이상인구[천명],3554.7
계,25 - 29세,2020,2,15세이상인구[천명],3560.3
계,25 - 29세,2020,3,15세이상인구[천명],3565
계,25 - 29세,2020,4,15세이상인구[천명],3569.7
계,25 - 29세,2020,5,15세이상인구[천명],3575.3
계,25 - 29세,2020,6,15세이상인구[천명],3580.2
계,25 - 29세,2020,7,15세이상인구[천명],3584.7
계,25 - 29세,2020,8,15세이상인구[천명],3589.1
계,25 - 29세,2020,9,15세이상인구[천명],3593.5
계,25 - 29세,2020,10,15세이상인구[천명],3598.1
계,25 - 29세,2020,11,15세이상인구[천명],3603.2
계,25 - 29세,2020,12,15세이상인구[천명],3608.3
계,25 - 29세,2021,1,15세이상인구[천명],3615
계,25 - 29세,2021,2,15세이상인구[천명],3620.2
계,25 - 29세,2021,3,15세이상인구[천명],3625.3
계,25 - 29세,2021,4,15세이상인구[천명],3630.5
계,25 - 29세,2021,5,15세이상인구[천명],3635.8
계,30 - 34세,2011,1,15세이상인구[천명],3890.1
계,30 - 34세,2011,2,15세이상인구[천명],3897.4
계,30 - 34세,2011,3,15세이상인구[천명],3904.8
계,30 - 34세,2011,4,15세이상인구[천명],3912
계,30 - 34세,2011,5,15세이상인구[천명],3920
계,30 - 34세,2011,6,15세이상인구[천명],3926.9
계,30 - 34세,2011,7,15세이상인구[천명],3934.5
